UID,Category,KW,Web,Emp_count,Sales,Note,KW_search,FB_likes,FB,Position_CH,Impressions,Visits,Value_visitor,Value,Links,Site_count,Capital,Headquarter,City,Registered,Age,Size,BCG,Ratio,Sales per Emp_count
N,N,Hausbrandt,http://www.hausbrandtcaffe.ch,9,1000000,N,0,220,N,525125,300,300,1.32,773,2,825,100000,Switzerland,Littoral,1892,Aging,XS,Dog,Low Industry Growth,111111.11
CHE-115.693.671,Bar/Pub,Jolly caffee,http://www.jollycaffe.ch,3,1000000,2016 Juli,12,7995,N,447218,300,300,0.6,781,6,120,100000,Switzerland,Mendrisio,2012,New,XS,Dog,Low Industry Growth,333333.33
CHE-102.368.492,UCC,Giger,http://www.giger-cafe.ch,40,100000000,N,46,1463,N,58891,300,300,1.19,781,15,1170,180000,Switzerland,Zollikofen,1904,Aging,S,Question mark,High Industry Growth,2500000
CHE-195.596.773,Herstellung von Getr_nken,Adrianos,https://www.adrianos.ch,9,1000000,2016 Dezember,5,1321,Y,44128,300,300,1.16,818,95,22350,100000,Switzerland,Bern,2008,New,XS,Dog,Low Industry Growth,111111.11
CHE-102.368.492,UCC,Rosca,http://www.rosca.ch,9,20000000,N,15,4121,N,52545,300,300,0.27,825,29,16050,25000,Switzerland,Sursee,1954,Aging,XS,Question mark,High Industry Growth,2222222.22
CHE-358.488.933,Herstellung von Getr_nken,Gipfels tuermer,https://www.gipfelstuermerkaffee.ch,15,10000000,N,7,862,N,586213,300,300,0.3,856,8,30,100000,Switzerland,Unterlunkhofen,2011,New,S,Dog,Low Industry Growth,666666.67
N,N,Quarta caffe,http://www.quartacaffe.com/en/,9,10000000,N,0,146,N,97324,358,358,0.41,883,101,1230,20000,Italy,Lecce,2015,New,XS,Question mark,High Industry Growth,1111111.11
CHE-362.413.335,Herstellung von Getr_nken,Black and Blaze,http://www.blackandblaze.com,3,10000000,N,0,835,Y,87157,265,300,0.21,899,38,855,100000,Switzerland,Ebmatingen,2016,New,XS,Question mark,High Industry Growth,3333333.33
N,N,HR Gastro,http://www.hr-gastro.ch/de/kaffee/unsere-kaffeeroesterei/,40,10000000,N,0,465,N,42412,1191,314,0.26,971,40,25350,100000,Switzerland,Interlaken,1933,Aging,S,Dog,Low Industry Growth,250000
N,N,Kolanda,http://www.kolanda.ch,9,10000000,N,20,1321,N,160549,322,322,0.3,986,27,855,20000,Switzerland,Allschwil,2015,New,XS,Question mark,High Industry Growth,1111111.11
CHE-107.856.327,Herstellung von Getr_nken,Delica AG,http://www.delica.ch,1391,300000000,2016 ovember,20,175,Y,164697,1588,277,0.13,1049,76,26850,1000000,Switzerland,Birsfelden,1964,Aging,XL,Cash Cow,Low Industry Growth,215672.18
CHE-362.510.257,Herstellung von Getr_nken,Blaser cafee,http://www.blasercafe.ch,99,10000000,2016 August,34,6824,Y,25242,491,491,0.47,1075,155,13935,500000,Switzerland,Bern,2012,New,M,Dog,Low Industry Growth,101010.1
